title,artist,year,spotify_url
In Your Eyes,Kylie Minogue,2001,https://open.spotify.com/track/1F5jI1Uh59GCnvalivgtjR
The Middle,Jimmy Eat World,2001,https://open.spotify.com/track/5kD9T7GForh8LnRz5ClbL8
A Thousand Miles,Vanessa Carlton,2002,https://open.spotify.com/track/6Qm9MaditCcx5V62rVHYqu
Clocks,Coldplay,2002,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns
Complicated,Avril Lavigne,2002,https://open.spotify.com/track/2IiNA0s5eQBSjwK4iNeUvW
Dilemma,"Nelly, Kelly Rowland",2002,https://open.spotify.com/track/0ARK753YaiJbpLUk7z5yIM
Fighter,Christina Aguilera,2002,https://open.spotify.com/track/7nXq1vaZiz7PdbfojpPjW5
Hot In Herre,Nelly,2002,https://open.spotify.com/track/0oXuKhuNkXiZtuoxrdt3Ca
Lose Yourself,Eminem,2002,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
Señorita,Justin Timberlake,2002,https://open.spotify.com/track/0aj2QKJvz6CePykmlTApiD
This Love,Maroon 5,2002,https://open.spotify.com/track/6YgV0EF8xJMZz0Zm6BTaT4
99 Problems,JAY-Z,2003,https://open.spotify.com/track/1l6DvDFssUqMnsFJNFnrRJ
Bring Me To Life,Evanescence,2003,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp
Crazy In Love,"Beyoncé, JAY-Z",2003,https://open.spotify.com/track/0TwBtDAWpkpM3srywFVOV5
Hey Ya!,Outkast,2003,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
In Da Club,50 Cent,2003,https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8
Mr. Brightside,The Killers,2003,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
Numb,Linkin Park,2003,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
Seven Nation Army,The White Stripes,2003,https://open.spotify.com/track/3ctoHckjyd13eBi2IDw2Ip
Stacy's Mom,Fountains Of Wayne,2003,https://open.spotify.com/track/27L8sESb3KR79asDUBu8nW
Toxic,Britney Spears,2003,https://open.spotify.com/track/6I9VzXrHxO9rA9A5euc8Ak
Where Is The Love?,Black Eyed Peas,2003,https://open.spotify.com/track/5qtkvVNDdfCT7QAW726uvO
American Idiot,Green Day,2004,https://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj
Lonely,Akon,2004,https://open.spotify.com/track/4mNGNMcsoMS6F9SGycmHWM
Since U Been Gone,Kelly Clarkson,2004,https://open.spotify.com/track/3xrn9i8zhNZsTtcoWgQEAd
Yeah!,"USHER, Lil Jon, Ludacris",2004,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX
"Dance, Dance",Fall Out Boy,2005,https://open.spotify.com/track/0a7BloCiNzLDD9qSQHh5m7
Feel Good Inc.,"Gorillaz, De La Soul",2005,https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT
Temperature,Sean Paul,2005,https://open.spotify.com/track/0k2GOhqsrxDTAbFFSdNJjT
Clumsy,Fergie,2006,https://open.spotify.com/track/64HtRJl3RuQOnF8MdNR2B5
Fergalicious,"Fergie, will.i.am",2006,https://open.spotify.com/track/1D066zixBwqFYqBhKgdPzp
Hips Don't Lie,"Shakira, Wyclef Jean",2006,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V
London Bridge,Fergie,2006,https://open.spotify.com/track/2UPqEbhg8b2O0onMq5dHlP
Maneater,Nelly Furtado,2006,https://open.spotify.com/track/4wH4dJgrsxONID6KS2tDQM
Promiscuous,"Nelly Furtado, Timbaland",2006,https://open.spotify.com/track/7cUhxtLxcNZXV6Qdpi8PTO
SOS,Rihanna,2006,https://open.spotify.com/track/4S5b3wwIXpVNvY2jeIQdKu
Teenagers,My Chemical Romance,2006,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0
Low,"Flo Rida, T-Pain",2007,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J
Stronger,Kanye West,2007,https://open.spotify.com/track/4y6c5vMzKKM3KsMbHtjKx5
Umbrella,"Rihanna, JAY-Z",2007,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux
Closer,Ne-Yo,2008,https://open.spotify.com/track/0GX5oOKtU0nnx5OkhenW2i
Forever,Chris Brown,2008,https://open.spotify.com/track/4X3FiBn7cd88I3MVtph9By
Halo,Beyoncé,2008,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
Heartless,Kanye West,2008,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
Hot N Cold,Katy Perry,2008,https://open.spotify.com/track/1ulXmqjktxSdrdT1bzc69H
I Kissed A Girl,Katy Perry,2008,https://open.spotify.com/track/005lwxGU1tms6HGELIcUv9
I'm Yours,Jason Mraz,2008,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA
Just Dance,"Lady Gaga, Colby O'Donis",2008,https://open.spotify.com/track/6HkjpGIOHv4y0IBAxUbE5z
Poker Face,Lady Gaga,2008,https://open.spotify.com/track/1QV6tiMFM6fSOKOGLMHYYg
Single Ladies,Beyoncé,2008,https://open.spotify.com/track/5R9a4t5t5O0IsznsrKPVro
So What,P!nk,2008,https://open.spotify.com/track/6qYGUxPjQt5PJtWdiNppZx
Use Somebody,Kings of Leon,2008,https://open.spotify.com/track/5VGlqQANWDKJFl0MBG3sg2
Viva La Vida,Coldplay,2008,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
Bad Romance,Lady Gaga,2009,https://open.spotify.com/track/1CZOrmHUUjeDP7N2B4Ba6S
"Hey, Soul Sister",Train,2009,https://open.spotify.com/track/0KpfYajJVVGgQ32Dby7e9i
Hotel Room Service,Pitbull,2009,https://open.spotify.com/track/6dKJWmXeYPznzolqo4K6Uq
I Gotta Feeling,Black Eyed Peas,2009,https://open.spotify.com/track/70cTMpcgWMcR18t9MRJFjB
Party In The U.S.A.,Miley Cyrus,2009,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
TiK ToK,Kesha,2009,https://open.spotify.com/track/5OMwQFBcte0aWFJFqrr5oj
Firework,Katy Perry,2010,https://open.spotify.com/track/4lCv7b86sLynZbXhfScfm2
Grenade,Bruno Mars,2010,https://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ
OMG,"USHER, will.i.am",2010,https://open.spotify.com/track/3r04p85xiJh9Wqk59YDYdc
Pumped Up Kicks,Foster The People,2010,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
Rolling in the Deep,Adele,2010,https://open.spotify.com/track/1eq1wUnLVLg4pdEfx9kajC
Super Bass,Nicki Minaj,2010,https://open.spotify.com/track/7gKIt3rDGIMJDFVSPBnGmj
Yeah 3x,Chris Brown,2010,https://open.spotify.com/track/5PypFTXJ4Ij2nMvxKRjjv2
Your Love Is My Drug,Kesha,2010,https://open.spotify.com/track/3MFQiTzOI5txaTQlybipNx
Call Me Maybe,Carly Rae Jepsen,2011,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO
Domino,Jessie J,2011,https://open.spotify.com/track/2fQxE0jVrjNMT9oJAXtSJR
Levels,Avicii,2011,https://open.spotify.com/track/5QjJgPU8AJeickx34f7on6
Set Fire to the Rain,Adele,2011,https://open.spotify.com/track/5PKWUDfQFtc5qqo8cs1gQp
Titanium,"David Guetta, Sia",2011,https://open.spotify.com/track/0TDLuuLlV54CkRRUOahJb4
